gene,bin,mean_normalized_counts,fraction_detected,n_cells,pseudotime,pseudotime_percentile
Ascl1,58,0.8880618013190558,0.40625,32,0.04339734147804594,0.5800123571207909
Ascl1,59,0.5576467620091827,0.34375,32,0.043671170167973575,0.5898980537534755
Ascl1,60,0.2312995475278462,0.21875,32,0.04394104196009762,0.59978375038616
Ascl1,61,0.2740980242475828,0.28125,32,0.04426907711589678,0.6096694470188446
Ascl1,62,0.24062021536728354,0.28125,32,0.04447458242381004,0.6195551436515292
Ascl1,63,0.2151015004571398,0.15625,32,0.044780068609678744,0.6294408402842138
Ascl1,64,0.49867582524140786,0.28125,32,0.04507340731934226,0.6393265369168983
Ascl1,65,0.47726802402897434,0.3125,32,0.04531082992413251,0.6492122335495829
Ascl1,66,0.14422556450019347,0.0625,32,0.04559341416059682,0.6590979301822675
Ascl1,67,0.33825122363530397,0.21875,32,0.04589608755266486,0.668983626814952
Ascl1,68,0.2096233797031954,0.21875,32,0.046210075166656886,0.6788693234476366
Ascl1,69,0.4536142372667678,0.28125,32,0.046683477550757774,0.6887550200803213
Ascl1,70,0.3118972880005225,0.21875,32,0.04705700543221022,0.6986407167130059
Ascl1,71,0.03535993013032415,0.125,32,0.047383191705377886,0.7085264133456904
Ascl1,72,0.3625062911964057,0.1875,32,0.0477297963710159,0.718412109978375
Ascl1,73,0.4942773887242688,0.21875,32,0.04819057723965111,0.7282978066110597
Ascl1,74,0.18602754891438242,0.15625,32,0.04873644982230882,0.7381835032437443
Ascl1,75,0.16982269527416047,0.125,32,0.04905034470446588,0.7480691998764288
Ascl1,76,0.166693999094026,0.21875,32,0.04939576656215451,0.7579548965091134
Ascl1,77,0.15624097388238697,0.1875,32,0.04988861057417274,0.767840593141798
Ascl1,78,0.27603518035802327,0.25,32,0.05046289437853513,0.7777262897744825
Ascl1,79,0.061697404533817585,0.09375,32,0.050960722793626234,0.7876119864071671
Ascl1,80,0.06173263254905515,0.1875,32,0.05158747906543623,0.7974976830398517
