Mouse,Condition,Sample,n_cells,median_pseudotime,q10_pseudotime,q90_pseudotime
10,p27CKO,S4,351,0.04433802274091074,0.031449788989119265,0.2813351273367466
10,p27CKO +EStim,S8,857,0.03893408974073197,0.02879139972253803,0.06691358846705274
3,p27CKO,S3,942,0.039427328585643975,0.027787260449473387,0.2925745082957506
3,p27CKO +EStim,S7,464,0.04348593415927891,0.03174131954135651,0.08038355749261956
30,p27CKO +EStim,S5,343,0.04354394959987831,0.030080185087397297,0.06834536408347058
33,p27CKO,S2,281,0.042935286406982014,0.02219009545198804,0.08633076925942641
