gene,bin,mean_log_expression,n_cells,pseudotime,pseudotime_percentile
Hes6,1,0.27726774477153854,162,0.01925432388126813,0.024868705591597158
Hes6,2,0.4553999589853082,162,0.026685505414211903,0.07491504479456287
Hes6,3,0.4944098957391992,162,0.030248327380524125,0.12496138399752857
Hes6,4,0.5997193504809925,162,0.03237981159677774,0.1750077232004943
Hes6,5,0.5846830524209822,162,0.03402767319755097,0.22505406240346
Hes6,6,0.6420375101301306,162,0.0353701057102389,0.2751004016064257
Hes6,7,0.6045859838443316,162,0.036753305987732715,0.32514674080939143
Hes6,8,0.6000308885891665,162,0.03808994455346751,0.37519308001235707
Hes6,9,0.5318963885979232,162,0.03945964607924296,0.4252394192153228
Hes6,10,0.5608148725690107,162,0.04062253166788311,0.4752857584182886
Hes6,11,0.5557076246423149,162,0.041904029784093785,0.5253320976212543
Hes6,12,0.587748799983551,162,0.04325064504783762,0.57537843682422
Hes6,13,0.4832210850388495,162,0.0446149140720162,0.6254247760271856
Hes6,14,0.5324315621267359,162,0.046097590769548294,0.6754711152301514
Hes6,15,0.41977724800859934,162,0.048112377991695335,0.7255174544331171
Hes6,16,0.36975429753185246,162,0.050362086562700935,0.7755637936360829
Hes6,17,0.5069940254167545,162,0.05444018506419347,0.8256101328390485
Hes6,18,0.898074305961551,162,0.07969186728089495,0.8756564720420141
Hes6,19,0.6523151894163955,161,0.29242114103344313,0.9255483472350943
Hes6,20,0.5147892369718339,161,0.6319420320172795,0.9752857584182886
Otx2,1,0.0034614436543044616,162,0.01925432388126813,0.024868705591597158
Otx2,2,0.0027962022826236088,162,0.026685505414211903,0.07491504479456287
Otx2,3,0.007072310654839447,162,0.030248327380524125,0.12496138399752857
Otx2,4,0.005143272998772343,162,0.03237981159677774,0.1750077232004943
Otx2,5,0.008367257914255598,162,0.03402767319755097,0.22505406240346
Otx2,6,0.003362424031343025,162,0.0353701057102389,0.2751004016064257
Otx2,7,0.0017029749156082241,162,0.036753305987732715,0.32514674080939143
Otx2,8,0.020908947544520506,162,0.03808994455346751,0.37519308001235707
Otx2,9,0.010118703878901238,162,0.03945964607924296,0.4252394192153228
Otx2,10,0.003947104012504394,162,0.04062253166788311,0.4752857584182886
Otx2,11,0.004146125320758007,162,0.041904029784093785,0.5253320976212543
Otx2,12,0.007694532315268496,162,0.04325064504783762,0.57537843682422
Otx2,13,0.005586038991427432,162,0.0446149140720162,0.6254247760271856
Otx2,14,0.01905191647123276,162,0.046097590769548294,0.6754711152301514
Otx2,15,0.01210423053846759,162,0.048112377991695335,0.7255174544331171
Otx2,16,0.00936291131314411,162,0.050362086562700935,0.7755637936360829
Otx2,17,0.010955916511252361,162,0.05444018506419347,0.8256101328390485
Otx2,18,0.06678196052894121,162,0.07969186728089495,0.8756564720420141
Otx2,19,1.0722064044638393,161,0.29242114103344313,0.9255483472350943
Otx2,20,1.94871501561641,161,0.6319420320172795,0.9752857584182886
Rlbp1,1,2.3190375896070847,162,0.01925432388126813,0.024868705591597158
Rlbp1,2,2.46259287339301,162,0.026685505414211903,0.07491504479456287
Rlbp1,3,2.5050258528982017,162,0.030248327380524125,0.12496138399752857
Rlbp1,4,2.483837348728524,162,0.03237981159677774,0.1750077232004943
Rlbp1,5,2.4786828578955893,162,0.03402767319755097,0.22505406240346
Rlbp1,6,2.457821407305371,162,0.0353701057102389,0.2751004016064257
Rlbp1,7,2.4872952246976423,162,0.036753305987732715,0.32514674080939143
Rlbp1,8,2.466059562240776,162,0.03808994455346751,0.37519308001235707
Rlbp1,9,2.3715277463857816,162,0.03945964607924296,0.4252394192153228
Rlbp1,10,2.367614020863407,162,0.04062253166788311,0.4752857584182886
Rlbp1,11,2.4092944256662125,162,0.041904029784093785,0.5253320976212543
Rlbp1,12,2.4273619543170364,162,0.04325064504783762,0.57537843682422
Rlbp1,13,2.324060876365428,162,0.0446149140720162,0.6254247760271856
Rlbp1,14,2.4108924962526,162,0.046097590769548294,0.6754711152301514
Rlbp1,15,2.252473438278069,162,0.048112377991695335,0.7255174544331171
Rlbp1,16,2.2391403597101465,162,0.050362086562700935,0.7755637936360829
Rlbp1,17,2.2276112082462465,162,0.05444018506419347,0.8256101328390485
Rlbp1,18,1.983908461422065,162,0.07969186728089495,0.8756564720420141
Rlbp1,19,0.9504332358923192,161,0.29242114103344313,0.9255483472350943
Rlbp1,20,0.1806068077426068,161,0.6319420320172795,0.9752857584182886
