gate	gate_index	bootstrap_seed	progenitor_percentile	proliferation_percentile	progenitor_threshold	proliferation_threshold	control_mean_percent	estim_mean_percent	difference_percentage_points	ratio_of_mean_proportions	odds_ratio	odds_ratio_wald_low	odds_ratio_wald_high	observed_likelihood_ratio	requested_simulations	successful_simulations	retried_simulations	failed_simulations	exceedances	bootstrap_p	bootstrap_p_failure_low	bootstrap_p_failure_high	monte_carlo_se	bootstrap_q_bh
progenitor_p80__proliferation_p25	1	6247	0.8	0.25	0.2960825334807699	-0.520094691550432	3.250786407566068	5.906123521621146	2.6553371140550777	1.8168291549007627	1.8032076687504117	0.9937544140227542	3.2719934128170256	3.358150462664071	1000	994	112	6	138	0.13969849246231156	0.13886113886113885	0.14485514485514486	0.01099582981433891	0.13969849246231156
progenitor_p80__proliferation_p50	2	3518	0.8	0.5	0.2960825334807699	-0.06700001433568928	6.619528201449105	13.815236216461525	7.195708015012419	2.0870424290113574	2.3648636990279006	1.236705212099395	4.522161191094297	4.973072489307754	1000	1000	13	0	92	0.09290709290709291	0.09290709290709291	0.09290709290709291	0.009180161490662662	0.13969849246231156
progenitor_p90__proliferation_p25	3	9076	0.9	0.25	0.8411671330127669	-0.520094691550432	1.1920139391890805	3.451991470089745	2.2599775309006644	2.8959321335102115	2.9578251210193933	1.1439283040526569	7.647970083036491	5.042189673658868	1000	973	72	27	86	0.08932238193018481	0.08691308691308691	0.11388611388611389	0.00914336504655795	0.13969849246231156
progenitor_p90__proliferation_p50	4	4661	0.9	0.5	0.8411671330127669	-0.06700001433568928	3.320051208469288	7.817440471228918	4.497389262759629	2.3546144262133697	2.7316513654498094	1.098988642823382	6.789805546300819	4.020782329005215	1000	996	14	4	121	0.12236710130391174	0.12187812187812187	0.1258741258741259	0.010383866938321242	0.13969849246231156
progenitor_p95__proliferation_p25	5	7384	0.95	0.25	1.5468313652146728	-0.520094691550432	0.377452637339643	1.9705331425448953	1.5930805052052526	5.2206103431508195	3.839296716735576	1.635242479359566	9.014075566890542	7.917139541157212	1000	933	141	67	27	0.029978586723768737	0.027972027972027972	0.09490509490509491	0.005582843020029853	0.13969849246231156
progenitor_p95__proliferation_p50	6	1859	0.95	0.5	1.5468313652146728	-0.06700001433568928	1.3929129042123392	3.85511887231067	2.462205968098331	2.767666851712206	3.0106825354602966	1.0222594548598976	8.86683834151273	3.9862345051807324	1000	985	42	15	100	0.10243407707910751	0.1008991008991009	0.11588411588411589	0.009661338355231799	0.13969849246231156
